"Used","Free","CurrentLocation","Name","Provider","Root","Description","MaximumSize","Credential","DisplayRoot","VolumeSeparatedByColon"
"","","","Alias","Microsoft.PowerShell.Core\Alias","","Drive that contains a view of the aliases stored in a session state",,"System.Management.Automation.PSCredential",,"True"
"721681547264","274345062400","Users\blain\OneDrive\Documents\Jarvis\Jarvis","C","Microsoft.PowerShell.Core\FileSystem","C:\","Windows",,"System.Management.Automation.PSCredential",,"True"
"","","","Cert","Microsoft.PowerShell.Security\Certificate","\","X509 Certificate Provider",,"System.Management.Automation.PSCredential",,"True"
"3124449280","23719092224","","D","Microsoft.PowerShell.Core\FileSystem","D:\","LENOVO",,"System.Management.Automation.PSCredential",,"True"
"",,"","E","Microsoft.PowerShell.Core\FileSystem","E:\","",,"System.Management.Automation.PSCredential",,"True"
"","","","Env","Microsoft.PowerShell.Core\Environment","","Drive that contains a view of the environment variables for the process",,"System.Management.Automation.PSCredential",,"True"
"","","","Function","Microsoft.PowerShell.Core\Function","","Drive that contains a view of the functions stored in a session state",,"System.Management.Automation.PSCredential",,"True"
"","","","HKCU","Microsoft.PowerShell.Core\Registry","HKEY_CURRENT_USER","The software settings for the current user",,"System.Management.Automation.PSCredential",,"True"
"","","","HKLM","Microsoft.PowerShell.Core\Registry","HKEY_LOCAL_MACHINE","The configuration settings for the local computer",,"System.Management.Automation.PSCredential",,"True"
"721682001920","274344607744","","Temp","Microsoft.PowerShell.Core\FileSystem","C:\Users\blain\AppData\Local\Temp\","Drive that maps to the temporary directory path for the current user",,"System.Management.Automation.PSCredential",,"True"
"","","","Variable","Microsoft.PowerShell.Core\Variable","","Drive that contains a view of those variables stored in a session state",,"System.Management.Automation.PSCredential",,"True"
"","","","WSMan","Microsoft.WSMan.Management\WSMan","","Root of WsMan Config Storage.",,"System.Management.Automation.PSCredential",,"True"
